Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,Cost,CTR,Avg. CPC,Base max. CPC
Enabled,"""bulk straws""",Phrase match,AU_Generic_P-V_Food,Barware_Bulk_Phrase,Eligible,,USD,2.73,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_508871881192_y173370682930,11,1,1.82,9.09%,1.82, --
Enabled,[wholesale foodstuffs],Exact match,AU_Generic_P-V_Food,Wholesales_Food_Exact,Limited,below first page bid,USD,0.92,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_811188017516_x173370677490,122,16,71.30,13.11%,4.46, --
Enabled,"""computers distributor""",Phrase match,AU_Generic_P-V_Electronics,Computers_Distributor_Phrase,Limited,below first page bid,USD,4.99,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_417780379886_y184975937464#comp,289,19,118.62,6.57%,6.24,4.99
Enabled,"""bulk coasters""",Phrase match,AU_Generic_P-V_Food,Barware_Bulk_Phrase,Limited,below first page bid,USD,0.81,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_299764395741_y173370682930,21,4,38.17,19.05%,9.54, --
Enabled,[laptops for business],Exact match,AU_Generic_P-V_Electronics,Computers_Exact,Limited,low quality,USD,2.08,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_488989225152_x179165231018#comp,265,15,74.34,5.66%,4.96,0.70
Enabled,[food wholesale market],Exact match,AU_Generic_P-V_Food,Wholesales_Food_Exact,Limited,below first page bid,USD,1.58,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_325025781059_x173370677490,52,8,23.04,15.38%,2.88, --
Enabled,[drinks wholesale market],Exact match,AU_Generic_P-V_Food,Wholesales_Food_Exact,Limited,below first page bid,USD,7.17,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_838589984587_x173370677490,27,4,20.90,14.81%,5.23, --
Enabled,"""computer parts distributor""",Phrase match,AU_Generic_P-V_Electronics,Computers_Distributor_Phrase,Limited,below first page bid,USD,2.89,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_301284382715_y184975937464#comp,16,2,22.09,12.50%,11.05, --
Enabled,[ingredients wholesale],Exact match,AU_Generic_P-V_Food,Wholesales_Food_Exact,Limited,low quality,USD,3.27,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_555685933842_x173370677490,4,1,3.44,25.00%,3.44, --
Enabled,[bulk plates],Exact match,AU_Generic_P-V_Food,Plates_Bulk_Exact,Eligible,,USD,5.98,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_2907071361_x173370681010,19,1,5.62,5.26%,5.62, --
Enabled,"""coffee machines sellers""",Phrase match,AU_Generic_P-V_Food,Coffee Machines_Sellers_Phrase,Eligible,,USD,4.16,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_879290697545_y173370683650,78,7,22.32,8.97%,3.19, --
Enabled,[canned food wholesale],Exact match,AU_Generic_P-V_Food,Wholesales_Food_Exact,Limited,below first page bid,USD,1.32,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_303975295103_x173370677490,3,1,1.52,33.33%,1.52, --
Enabled,"""earphones distributor""",Phrase match,AU_Generic_P-V_Electronics,Headphones_Distributor_Phrase,Limited,below first page bid,USD,2.28,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_574219991745_y184975937944#comp,17,4,24.47,23.53%,6.12,2.28
Enabled,[bulk straws],Exact match,AU_Generic_P-V_Food,Barware_Bulk_Exact,Limited,low quality,USD,1.03,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_3743712817_x173370681290,14,2,10.52,14.29%,5.26, --
Enabled,"""bulk refurbished phones""",Phrase match,AU_Generic_P-V_Electronics,Phones_Bulk_Phrase,Limited,below first page bid,USD,0.92,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_ele_356540185616_y184975938144,5,1,2.79,20.00%,2.79,6.78
Enabled,"""bulk film cameras""",Phrase match,AU_Generic_P-V_Electronics,Camera-Accessories_Bulk_Phrase,Limited,below first page bid,USD,0.53,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_ele_1436453064410_y184975936504,1,1,2.64,100.00%,2.64,3.27
Enabled,"""soft drinks distributor""",Phrase match,AU_Generic_P-V_Food,Drinks_Distributor_Phrase,Limited,below first page bid,USD,1.80,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_374553731924_y173370684890,9,2,5.13,22.22%,2.57, --
Enabled,[sweet shop bulk],Exact match,AU_Generic_P-V_Food,Sweets_Bulk_Exact,Eligible,,USD,2.85,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_504532719802_x173370677930,55,7,43.51,12.73%,6.22, --
Enabled,"""bulk decanters""",Phrase match,AU_Generic_P-V_Food,Glassware_Bulk_Phrase,Limited,below first page bid,USD,0.10,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_310024027572_y173370685810,5,1,8.96,20.00%,8.96, --
Enabled,[bulk easter sweets],Exact match,AU_Generic_P-V_Food,Sweets_Bulk_Exact,Eligible,,USD,3.93,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_644513530528_x173370677930,4,1,5.59,25.00%,5.59, --
Enabled,[wholesale tv],Exact match,AU_Generic_P-V_Electronics,Televisions_Wholesale_Exact,Limited,below first page bid,USD,1.32,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_298339643667_x179165231178#comp,2,1,3.17,50.00%,3.17,1.32
Enabled,"""bulk champagne glasses""",Phrase match,AU_Generic_P-V_Food,Glassware_Bulk_Phrase,Limited,below first page bid,USD,0.64,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_297855896561_y173370685810,2,1,3.57,50.00%,3.57, --
Enabled,"""foods catalogue""",Phrase match,AU_Generic_P-V_Food,Food_Catalog_Phrase,Limited,below first page bid,USD,2.28,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_1435912051913_y173370685330,14,1,7.00,7.14%,7.00, --
Enabled,"""bulk flours""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,Limited,below first page bid,USD,1.10,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_355565801676_y173370685170,185,11,47.90,5.95%,4.35, --
Enabled,"""bulk herbs""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,Eligible,,USD,4.99,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_10127251_y173370685170,229,27,117.96,11.79%,4.37, --
Enabled,"""bulk canned food""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,Eligible,,USD,0.92,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_298763615933_y173370685170,228,21,121.45,9.21%,5.78, --
Enabled,"""drinks wholesalers""",Phrase match,AU_Generic_P-V_Food,Food_Wholesalers_Phrase,Limited,below first page bid,USD,0.92,https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_317833145654_y173370685610,155,25,152.24,16.13%,6.09, --
Enabled,"""bulk plates""",Phrase match,AU_Generic_P-V_Food,Plates_Bulk_Phrase,Eligible,,USD,3.47,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_1131599020_y173370687090,135,19,73.62,14.07%,3.87, --
